question_id,dialogue,topics
567fad01a377e46d7ebe2beb,"I'm worried that I will be single forever.. I have lately been having lots of anxiety and self-loathing about the fact that I am a young adult virgin girl who has never had a boyfriend before. It seems like everyone my age has already had boyfriends by now or are not virgins anymore, and I just had my first kiss five months ago. I’m worried that, at this rate, I won’t have a boyfriend for a very long time. The problem is that I want to lose my virginity to my first boyfriend who cares about me, but at the same time, I don't want to be waiting forever in order to experience sex. I have already given in to bad temptations by hooking up with random strangers on social media sites and having oral sex with them. Luckily, they were nice guys, but none of them wanted a relationship with me. I feel dirty by doing this, but I feel pressured to do this things in order to seem normal. Most people are surprised when they find out that I am a virgin or never had a boyfriend because people think I am really good looking. I am tall, I play lots of sports, and I get excellent grades in school. I am in my first year of university right now, and no guys have approached me to go out on a date or showed any interest. It bothers me. Most of the people in my family have been in relationships at my age already. I feel like I will be single forever sometimes","[""Anxiety"", ""Relationships"", ""Self-esteem""]"
56804d32a377e46d7ebe2bfa,"Is my ex-boyfriend a pathological liar?. I have an ex-boyfriend who just lies about everything. He is super lazy. He lies to everyone that he has a good job, builds trust, and then start borrowing money—and large amounts too. It has come to the point where he has gone through several group of friends. He is leaving a trail behind full of friends in debt because he would put on a sob story, borrow money, then disappear. He refuses to work, so he sits at home playing games all day and either lies to his mom for money or lies to his friends. I used to think his lying was due to his drug habit, but now I'm hearing from other ex-friends of his that this started even before the drugs got into his life. He would borrow anywhere from $5,000 to $50,000 from everyone and it would all disappear. He's in debt with bills. He doesn't gamble, but he spends his money on random stuff. Although he has this habit of lying compulsively and spending money, he seems to be a good person. He'll always give a homeless person all his change no matter what. My brother has epilepsy and is really antisocial—my ex-boyfriend makes an actual effort to socialize with my brother. He takes him out to the movies and plays video games with him. He drives me to school and work every day and picks me up—just basically the small things that add up to the fact that he's not totally a horrible human being. Is he just simple a pathological liar or is there something that could possibly be deep down in there?","[""Behavioral Change""]"
5684383ba377e46d7ebe2ca5,"Should I go back on my medicine?. I have experienced cycles of depression for the past four years, and it hits me harder every time it comes back. This past time, it was extremely debilitating, so I went on Wellbutrin. I could feel the effects of the medicine after the first week. A month and a half later, I decided that my depression was being caused by my own unwillingness to move forward and address my behaviors and thoughts that were keeping me in a place of despair. I became worried that the medicine was making me complacent and prohibiting me from working out what I needed to in my life to bring back true fulfillment. I stopped taking it a month ago and feel okay; a lot of the anxiety it was paired with has gone away. However, I still don't feel my sense of self has been completely regained, and I have days where I feel a zombie-like haze of having no interests or the ability to fully concentrate on anything. Is it better to continue letting time and good habits work out the remaining depression or should I go back on the medicine?","[""Depression""]"
567202c81c0ef0372122370e,"Relationships cause me anxiety and nausea.. I am in high school and have been facing anxiety issues lately. Whenever I get close to being in a relationship, some kind of anxiety takes over and keeps me from the relationship. This anxiety causes me depression at times and even makes me want to vomit. While a semi-relationship should be joyous, for me, it’s an emotional nightmare I can’t get to the bottom of. I’ve had this before and had to leave the semi-relationship to avoid throwing up every time I made contact with my crush. What could be the reason behind this? Is it massive nerve problems? Is it a fear of a bad relationship? While I’m not quite ready to be in one anyway, I want to get to the bottom of this for a brighter future in which I can be in one. I don’t take medications and have no desire to, I have read forums, and I’ve talked about the issue with my sister who has faced similar problems","[""Anxiety"", ""Depression"", ""Relationships""]"
557cbd57b1b211b80376b631,How do I deal with depression?. I'm in a state of depression right now. Who can I talk to? I've been sick in a lot of pain and crying. Don't know where to turn,"[""Depression""]"
5705a5d8a9eb92e0426472bb,"Is it normal for my mom to get mad easily?. It happens especially at me and my sister, and then she gets emotional and brings up the past. How should I deal with it? She is always stressed about her work and doesn't put her family first","[""Family Conflict""]"
568eb035e716b51523007c8f,Can a past therapist disclose information to a current therapist that you are seeing?,"[""Legal & Regulatory""]"
56d4e35d1f8f233e09696a4d,"How can I feel so empty even though I'm only in my early teens?. My life is completely normal, yet I feel empty inside. I feel as if I already know why I'm alive: to reproduce and die","[""Depression""]"
5762b25dca5745ed07aa1494,"How can I find myself again?. I just don't know what I want in life anymore. I'm can't figure out what it is that is keeping me distracted and unfocused. I can't put things into perspective at all. I'm just stuck, and I'm disappointed with my lack of accomplishments","[""Depression"", ""Self-esteem""]"
574f81c8c792dd6c7063e57b,"How do I know what my sexual orientation is?. I'm a girl, and I can't tell whether I'm bisexual or gay. I like girls a little more than boys, but I don't really know","[""LGBTQ""]"
5684bec6a377e46d7ebe2cb8,"Is it normal to blame myself for someone else's actions?. I'm a teenage girl, and my dad is an alcoholic. I hate being at home with him because he just stresses me out. He can be picking me up from basketball practice or piano lessons, and half of the time, I don't even know if he's sober or not. I refuse to get into the vehicle with him and walk home sometimes. I've either been barely sleeping or I over sleep, so I'm always tired. I live in a small town, so there's no one I can really talk to because I'm not really that close with my family","[""Family Conflict"", ""Stress""]"
564670365e8030c4305b30c6,"How do I fight inner loneliness from depression and a severe anxiety disorder?. I've been hospitalized twice. Once was last month for psychiatric help. I'm on medicine, but I'm struggling with fighting the negative thoughts, irrational fears, and loneliness. The people around me aren't helping much","[""Anxiety"", ""Depression""]"
57329f65aaeea25a1918b650,Should I move on from my ex-husband?. My husband and I are separated. He says he needs some time apart. He says he needs to get back the “in love” part of a relationship but doesn’t want to lose me. Should I wait or start over new?,"[""Relationship Dissolution""]"
57733db6b9ff751f196e8dde,"How do I stop a bully who adults wouldn't recognize as bullying without speaking to the bully?. She mostly targets me on social media. The bullying used to be much worse, but it is still going on. The comments are so vague, but I know that they are meant for me. Even when I confront her, she messages me short phrases to try to get in my head. If I try to fight back, she will ruin me","[""Social Relationships""]"
56678db91678044a13a776f4,"How can I be happy again?. At school, it feels like I've lost all my friends, and I've been really weird with my sleeping patterns. I used to cut myself, and I really want to again, but I change in the locker rooms because I don’t want anybody to see. I get ticked off easy and overreact. At night, I’m very depressed and listen to sad music and all that sort of stuff. Please help me. I just want to be happy again, and I feel like I’m starting to fake a smile at school","[""Depression""]"
57990e44b43cd7825e26e27d,How do I tell one parent I want to live with the other one?. I want to live with my mom. My dad gets angry and makes me feel like everything is my fault. I still talk to my mom although My dad tells me that I'm no allowed to. I'm scared I will make the wrong decision and that my dad will hate me. How do I tell him that I want to live with my mom?,"[""Family Conflict"", ""Parenting""]"
56d320179471b0b41ec68e52,"I don't know if I should end my relationship or try and stick through it.. I have been dating a guy for two years. I think I love him, but I don't know any more. I am in my late teens, and I have been living with him for most of our relationship. I have been talking to a guy friend, and I feel more loved by him than my boyfriend","[""Intimacy"", ""Relationships""]"
56f34411466e9f5456bb48d5,"What do I do when I have anxiety attacks?. I get so much anxiety, and I don’t know why. I feel like I can’t do anything by myself because I’m scared of the outcomes","[""Anxiety""]"
57525278c792dd6c7063e5d9,How do I tell my parents that I think I have some mental problems?. I am pretty sure I have depression and anxiety. I also have voices in my head. I have problems sleeping too. I've already been diagnosed with attention-deficit disorder and obsessive-compulsive disorder. I have self-harmed in the last and used to be suicidal. How do I tell them this and ask for therapy?,"[""Anxiety"", ""Depression"", ""Family Conflict""]"
56ff56dcfa722cdf047f2934,"How do I let go of the abuse my dad showed me?. My dad beat and mentally abused me so badly that I can't function properly. Letting go of the past is important to moving on and getting better, but I’m terrified to get better because I don't even know who I am without the trauma. I've never gotten to be myself. I don't even know who I am","[""Trauma""]"
576e22513c9e6b307a8ae5e5,"I crossdress and I don't know how to feel about it.. I am a heterosexual male in my late 20s. I find myself wearing pantyhose, heels, skirts and other women's clothing in private. I am torn on how to feel about it. I enjoy it very much. I have had a pantyhose/stocking fascination and other kinky fetish interests since I was young. I have no history of sexual abuse growing up. I am currently single","[""Human Sexuality"", ""LGBTQ""]"
56613e430901991a77b20835,"My ex-boyfriend wouldn't let me have my daughter because I didn't know my stepdaughter's pick-up details.. I am constantly having problems with the same two people who will always be in my life. I had a daughter with my ex-boyfriend. I am now married, and my husband’s ex-girlfriend is involved with my ex-boyfriend. They also have a daughter together. My issue is that there is always drama. I am pregnant, and I told my ex-boyfriend that I don't want any drama or arguments. I want to get along as much as possible, and he agreed. However, we just had an incident where my ex-boyfriend started discussing drop-off details about my stepdaughter. I told him that he needed to ask my husband because I can't make decisions about my stepdaughter regarding the matter. That led to an argument. I told him all my concern is when I pick up my daughter. My stepdaughter’s pick-up details are between my husband and his ex-girlfriend. I especially told him I didn't want to be involved. Somehow, he turned it around and then wanted to change the schedule we agreed on. He threatened me and got ugly because I wouldn’t discuss my stepdaughter’s matters with him. The point is there is so much drama. I try my best to get along with everyone. I don't understand where I went wrong (besides replying back to his question). I feel like I'm going crazy because this is a constant battle where everyone’s frustrations are taken out on each other, and it's the children that are hurting. I had a party planned for ","[""Family Conflict"", ""Marriage"", ""Relationships""]"
55862389e1d57a380899c182,"I don't know where the lines should be drawn with my boyfriend's ex. I want us all to get along, but feel that I am not being respected. Of course I do have some insecurities because he was with his ex for 8 years. He wants to see his step daughter and ex makes it so he has to go there to see her, but she doesn't want me around. She has a boyfriend, but mine fixes their vehicles, goes over once a week and hangs out with the ex and does family things with her. Since he works nights, I only see him parts of Friday-Sunday and we live together. He won't let me use his phone when I forgot mine, says his ex used to mess with it. I don't think he's cheating, but he will lie about what time he actually left her place to come home or about going over early to be with them. I feel like the other woman. She has tried to mess with holiday plans by restricting when he can see the child. He only dated once person before her, so this could be why. I don't feel he has let go enough. He is a wonderful boyfriend other than this","[""Relationships""]"
55f98139b82f58123979a0ea,I just found out my boyfriend has been cheating on me. He is in his late thirties and I am in my mid twenties. We have been together for about 5 months. I really like him. He says he cares about me and is willing to fight to make things right. He has been very apologetic and expressed he did it out of fear. I don't know if it's worth giving him a second chance,"[""Relationships""]"
557b86f6b1b211b80376b5d9,"What can I do if my parents refuse to acknowledge my anxiety and self-confidence issues?. My dad refuses to acknowledge my anxieties about going to parties, dinners, etc. Whenever I have an opinion it gets shut down. My mom and everyone else behaves likewise. For my father who heads a company, this is normal. He has to be right all the time. He blatantly refuses to even try to see it from my angle. Recently however, it's been getting to the point where I feel pressured and unable to speak my mind. It isn't possible for me to get professional one-on-one help. He tells me to grow a pair and get over it. I recently have been developing more severe body image and self-confidence issues, which I have had all my life. I feel invalidated by my dad. I have been more paranoid lately as well. I can't turn on location services anymore on my phone because of a past incident. He makes me feel guilty about it. I feel rather worthless more often than not, unfortunately. What do I do?","[""Anxiety"", ""Family Conflict"", ""Parenting"", ""Self-esteem""]"
561e8d91e88a65597bb56a8f,My companion tells me he wants nothing to do with me. Then turn right back around and say he loves me and needs me. This rollercoaster is crazy,"[""Relationships""]"
5684bd91a377e46d7ebe2cb7,"How do I get my guy to fall back in love with me?. I broke up with him three weeks ago because I felt that he needed to be more respectful. He has since had a rebound relationship. He says he loves and misses me but refuses to see me. He says it's going to be too difficult to see me. Every time we talk, it feels like I'm being pushy to see him. He used to be so madly in love with me, but now, it seems like he couldn’t care less. I think I'm running him away","[""Relationships""]"
55e1dac4a4803564117ec2f4,How do I become more open minded or less irritable and happier?,"[""Self-esteem""]"
56a91be490043ec136db8bb5,"How can I get over the past in my relationship?. My boyfriend of five months expresses how much he cares for me and loves me, and I believe it. It has been one of the best relationships I have been in for a short period of time, but he has lied to me so much. He’ll tell me that he'll stop lying, and while he’s saying that, he's hiding something or lying about something. First, it was about a girl. He hid text messages and claimed she was a friend and it was a friendly conversation when it was a girl he once found interest in. Next was his ex-girlfriend. He put a fake contact name, and it was just friendly, but he lied to my face. All the time, he claims he never cheated and still expresses his love the same way and that he wants to change and do better","[""Intimacy"", ""Relationships""]"
559ad930277cbf7c0d482130,"How do I get over a slump?. I don't know what's wrong with me. At times I can be really happy, excited, I'll talk fast, and I want to do things. But lately I've been staying up way later and sleeping too much. I don't hang out with friends, I don't really have them. I feel nothing, worthless. I want to do nothing, I have no interest in anything. All I usually do is stay in my room. I want to be happy, I want to be nice. What's wrong with me?","[""Depression""]"
57042380a9eb92e042647217,I'm depressed because I want to lose weight,"[""Depression""]"
55cd67469418bf6d572842be,"My husband is harsh towards our son and threatened me. Tonight, my husband seemed to put our son down through an incorrect approach. His approach was perfectly wrong. I found myself defending my son. I told him that what he did was not the way to encourage our son. Instead of watching my husband’s harsh behavior I decided to sit beside my son and, together, we worked on his science assignment in order to encourage him to study. My husband got upset and he was swearing at me. He threatened me. I knew that he was not joking. His words scared me a lot!","[""Anger Management"", ""Family Conflict"", ""Parenting""]"
56ea1cdf4a6d29576bd60347,"Is it bad that I'm giving my ex-boyfriend another chance?. I was in a relationship with him for three years. My mom doesn't like it because she thinks I'm making a mistake. He got married a few months after we broke up, and now he is divorced. I forgave him for what he did in the past, and he says he’s sorry and he really loves me. I love him too, but is it bad that I'm giving him a second chance again?","[""Relationships""]"
575f873e16780993511710aa,"What can I do when my family doesn't accept my sexuality?. I'm a teenage gay girl, and I'm in love with a girl a few years older than me. She loves me too, but we're not physically together at the moment. I've been thinking about being transgender soon too, but my family doesn't accept me, so I honestly don't know what to do about that because I feel like I have to constantly hide the real me. It hurts so much to hide the real me. What can I do?","[""Family Conflict"", ""LGBTQ""]"
579a83eeb43cd7825e26e2ba,"How to get over somebody?. Our relationship ended about 7 years ago, but don't know how to let go. How can I get over that person and move on?","[""Relationship Dissolution""]"
57250c22f90871f676cf4760,Why is it so hard for me to talk publicly?. I feel really uncomfortable when I have people's attention. It makes me not want to talk in public or answer questions in class. Can I get over this social anxiety?,"[""Anxiety"", ""Social Relationships""]"
56bf9972891894937e3c6fe2,"My brother's ex-girlfriend doesn't want her son to see us anymore.. My brother just broke up with his girlfriend. While they were dating for the past two years, her son spent the weekends with me and my mother. Now she doesn't think her son should have any interaction with us. How should we approach the situation? Is she doing the right thing for her child?","[""Parenting""]"
5764a5c4ca5745ed07aa14ce,"My friend had lied about every aspect of her life—what do I do?. She has lied about every aspect of her life. She's created three fake relationships. The most recent one is concerning because she has fake photos, phone calls, and text messages, and it’s with a married man with kids. Her lying is becoming dangerous because she could ruin lives","[""Intimacy"", ""Social Relationships""]"
56dfacf3095966e22a8c149f,"How do I handle my binge eating?. I have a problem with binge eating, especially during times of stress. I binge eat and feel so overwhelmed with shame and disappointment that I end up going to the gym and trying to exercise the calories off. I am in my late 20s, and I have been dealing with this since I was a teenager. Are there any coping mechanisms I can use to break this cycle?","[""Stress""]"
56bbf21a4e568f192e1bfb6e,"I think I have anxiety and depression. It has manifested an extreme distrust for others.. My husband and I are in a terrible place. Part of me wants to fix it, but then I'm caught up with not knowing how and not being able to communicate my feelings to him because he always feels I'm blaming him. Sometimes I am because the feelings of distrust are so strong. I feel they must be coming from something he's doing, but sometimes I know I'm being irrational. Still, that doesn't stop the anxiety. The other half of the time, I just want to walk away, but I feel like that will only be a temporary fix","[""Anxiety"", ""Behavioral Change"", ""Depression"", ""Marriage""]"
5689a796e716b51523007b94,"How do I manage my anger?. I am so angry. I feel like the arguments with my parents have caused me so much anxiety and stress, and I don't know what to do. I want to sit down with a psychologist, but I cannot afford one, nor do I have my own health insurance. I can feel myself starting to get violent. I throw things of value when I start to get mad. I have punched holes in my wall. I can feel my aggression getting worse","[""Anger Management""]"
57479644c792dd6c7063e457,What should I do about not being sexually attracted to my girlfriend of five years?. Nothing we've tried has worked so far,"[""Human Sexuality"", ""Intimacy"", ""Relationships""]"
55d3d0183d30679529aa1619,"I'm in love with a sex offender, but my family doesn't accept him. I started dating a guy I met online. He told me that he registered sex offender but he didn't do anything. He took a plea to always register as sex offender and he did two years. That was more than two decades ago. Nothing on his record since. I always believe the past should be left in past. But my roommates, their family and my son are unforgiving. Should I forgive this man that I'm falling in love with or should I dump him? If I stay with him I will never see my family and granddaughter again","[""Family Conflict"", ""Relationships""]"
57420751c792dd6c7063e3b9,"How do I deal with a man who only contributes financially?. My boyfriend of eight years and father of our two children is a truck driver. He is never home and only contributes to our family financially. There is no other support given. He comes home when able, sleeps, gives money, and leaves again. I can't get him to do anything with me or the kids. He just sleeps and works","[""Intimacy"", ""Relationships""]"
56ad1ad2014e2eff2b4fee2b,"My father has always been horrible to me.. My suppose-to-be father told me to go find my real dad. We haven't been getting along since I was a teenager. If I said one thing that he thought was wrong, I always got degraded. He never said “I love you.” He never gave us hugs. He’s always called me horrible names. I feel he's an evil man with no feelings","[""Family Conflict"", ""Trauma""]"
56d13fb39471b0b41ec68e34,"How do I tell my parents that I'm gay?. I'm in love with my own gender, and my parents are against that. I don't know how to tell them because I'm afraid they'll not want me anymore","[""Family Conflict"", ""LGBTQ""]"
568fdfd9946f1cbf3dc6a844,"I want to stop physically abusing my girlfriend.. I have anger issues that have worsened over the years because I’ve never dealt with my emotions. My anger has never been expressed physically until the past year. My girlfriend has had to endure these episodes. I love her, and I think I’m about to lose her, if I already haven’t. I throw things at her when I’m angry, and sometimes I hit her. I may not hit her enough to cause harm, but I still physically lash out at her. I don’t want to lose her, and I don’t want the situation to worsen. I am a lesbian in my early 30s, and I have been dealing with anger since my childhood. I'm ready to change. I need help now. I'm about to explode","[""Anger Management""]"
5797a411b43cd7825e26e246,How do I fix my relationship?. My boyfriend is in recovery from drug addiction. We recently got into a fight and he has become very distant. I don't know what to do to fix the relationship,"[""Addiction"", ""Relationships""]"
579a92a0188cd61c1684e807,"How can I keep a long distance relationship going?. We weren't long distance until he joined the military. I love him and I know he loves, me but it's complicated. He said he's not going to find someone else, but I'm afraid. How do I keep our relationship going?","[""Relationships""]"
57079f502f77a225438f166a,"How can I know what my sexual orientation is?. I have been noticing myself really enjoying watching/reading about gay or lesbian couples. I've also been imagining what it might be like to date a girl, and I like the idea. I also find guys cute too. Does this make me bisexual?","[""LGBTQ""]"
581d5e5c950e2507cf23dbe9,"How do I get over a person I fell in love with?. I know that I need to get past my feelings for this person I fell in love with, but t's so difficult to move on because he showed me feelings I've never felt before. I feel like I don't want to be without my genuine love for him, but logically, I know I need to be without him. I can't discuss this with anybody in my life because the conditions surrounding our love are considered ""wrong"" by a lot of people. How can I get myself to just move on?","[""Intimacy"", ""Relationship Dissolution""]"
561f304c7f76d02120593ce7,Is it possible to get PTSD from being very depressed?. I have manic depression and last summer was very very bad. I have recurring nightmares and I avoid anything that will give me a similar feeling as I did that summer,"[""Depression"", ""Trauma""]"
577d5a227fe85f1465e20056,"How can I help my husband after a suicide attempt?. After he got home from the hospital he was angry, then for a time wonderful. Now he is depressed and hopeless again","[""Depression"", ""Marriage""]"
576611f620c0173024ce0bc4,I have had a compulsive swallowing tic for the past 9 months—how can I get rid of it?,"[""Behavioral Change""]"
5798080cb43cd7825e26e250,Why do I feel sad all the time?. I just feel sad all the time and I don't like anyone in my family. I feel like they're trying to control me and won't let me grow,"[""Depression"", ""Family Conflict""]"
5667a4b11678044a13a776ff,"I have the perfect guy, but I'm not attracted to him.. I'm in a long-distance relationship with my ideal man, but I'm not as attracted to him as I should be. Everything else is perfect about him, but I find myself lusting over more attractive men. The next step is marriage, but I want to marry someone who I can wake up to and fall in love with all over again. However, I also don't want to throw away a great relationship over what might just be lust. Am I asking for too much in the ""perfect guy""? Is there such a thing? Am I truly in love?","[""Relationships""]"
5710311890db94d66bf4426c,"I am paranoid that my boyfriend hiding something from me. My boyfriend and I have been dating for almost a year. We go to different schools, and we don't see each other that often. I just feel very paranoid that there's someone else or that he could be hiding something from me","[""Anxiety"", ""Relationships""]"
56904134946f1cbf3dc6a875,My traditional family is opposed to me moving in with my boyfriend who is 13 years older,"[""Family Conflict"", ""Relationships""]"
55d7b9a2c724b5b66655bf7c,How do couples keep from being at risk for divorce?,"[""Marriage"", ""Relationship Dissolution""]"
56a2792820fd22722a536084,"Why am I not as comfortable around my boyfriend anymore?. I've been experiencing a lot of anxiety and panic attacks lately. I was recently diagnosed by my psychiatrist with obsessive-compulsive disorder. Lately, I've been questioning everything from my career to my relationship. My boyfriend and I just moved in a few months ago. All of a sudden, I don't feel as comfortable around him as I used to, although I can't seem to find a reason as to why I feel this way","[""Anxiety"", ""Behavioral Change"", ""Relationships""]"
5695cf9b8819c1553ffa78da,How do I help my partner overcome depression over not having his kids by his side all the time?. My partner seems to always get depressed over the fact that his kids have to see and go through the divorce process. It’s especially when the mother of his kids keeps making him feel bad and using the kids as an excuse to get back at him. I feel like just telling him to go back with his family and forget about me,"[""Relationships""]"
55dc21c49b8c19d146fcd297,I am 18 years old with a baby on the way. Me and the father of my child have been dating for a year. We had a big argument and at first he wanted to work it out. But with time he started asking others and they told him to leave me. Now he wants me to wait on him to mature. He wants to talk to other people. Then come back in four years. He doesn't want to deal with me while I'm pregnant. He doesn't take me to the doctor or anything. I feel alone. How do I handle this situation?,"[""Relationships""]"
572b82a0aaeea25a1918b4ae,"Do feelings of depersonalization go away?. I've felt this way for two years. I feel so much better now then I did when it started, but it is still there in the back of my mind at all times","[""Behavioral Change""]"
557f2508a29507431fcd9df0,Why do I keep getting with men that emotionally abuse me?. I've been abused emotionally all of my life and for some reason I keep getting with men that I let emotionally abused me. How can I stop it? I know the mistakes that I've made in my life. I'm having a really hard time getting back on my feet. Can you help me please?,"[""Relationships""]"
567d08faa377e46d7ebe2b98,I always feel depressed.. I think about death all the time because I feel so alone. I want someone to love and someone to love me,"[""Depression""]"
574130e6c792dd6c7063e3aa,"How can I free myself from my narcissistic, codependent, ill mother?. I'm in my mid-twenties now, and my boyfriend of seven years and I want to start a life. My mother is 100% codependent on me and is extremely manipulative. She suffers from type 1 diabetes, which she uses to guilt me if I ever leave her. The problem is that I will feel guilty","[""Family Conflict""]"
55df7f880bb1f4f044e0095d,"Me and my girlfriend of 7 years are looking for some free couples counseling in Modesto, CA. We have been fighting a lot and have 3 kids but we both want to stay together. I need some help to save our family","[""Relationships""]"
5744ba34c792dd6c7063e404,"How do I get over jealousy?. I’m in a relationship with my child's father. I’m a really jealous person. We don’t go out or do anything with other people because of me. To keep our relationship going, I know I have to stop being jealous, but I can’t. How can I get over these issues?","[""Intimacy"", ""Relationships""]"
5723fbebf90871f676cf46f9,"I feel guilty about my fathers death. I spent my whole life taking care of my dad, but left because of his verbally abusive behavior. I was the only one that helped with his health issues. I feel if I hadn't left he might still be alive. I need help dealing with my grief and guilty conscience","[""Family Conflict""]"
56705d595b1e34166b9af6a9,"I think I can become a transgender, but how can I be sure?. I've recently thought that i could be transgender but I've never had the mind of a girl","[""LGBTQ""]"
