case_id,question_id,dialogue,topics,evidence_spans
C11,57a15afd188cd61c1684e85e,"I want to feel more comfortable around people.. My son was diagnosed with autism a few years ago and I stopped working so that I could take care of him. I also was dealing with an abusive relationship (mentally, physically, and emotionally). Now I live like a recluse and I always feel nervous around people. How can I feel more comfortable around other people?","[""Anxiety"", ""Parenting"", ""Relationships""]","[{""id"": ""E1"", ""text"": ""I want to feel more comfortable around people..""}, {""id"": ""E2"", ""text"": ""My son was diagnosed with autism a few years ago and I stopped working so that I could take care of him.""}, {""id"": ""E3"", ""text"": ""I also was dealing with an abusive relationship (mentally, physically, and emotionally).""}, {""id"": ""E4"", ""text"": ""Now I live like a recluse and I always feel nervous around people.""}, {""id"": ""E5"", ""text"": ""How can I feel more comfortable around other people?""}]"
C12,57610b6316780993511710ea,"Why do I feel like I'm nothing more than a wife and mom?. I'm in my mid 20s with a husband and children. I love my family, but I feel like I've lost my identity, and I don't know who I am other than a mom and wife. At times, all I can think is what I gave up and how I feel unhappy and trapped, but I know I'd feel like worse without them. I loathe myself at times. I have an amazing life, so why can't I just enjoy it?","[""Depression"", ""Family Conflict"", ""Self-esteem""]","[{""id"": ""E1"", ""text"": ""Why do I feel like I'm nothing more than a wife and mom?.""}, {""id"": ""E2"", ""text"": ""I'm in my mid 20s with a husband and children.""}, {""id"": ""E3"", ""text"": ""I love my family, but I feel like I've lost my identity, and I don't know who I am other than a mom and wife.""}, {""id"": ""E4"", ""text"": ""At times, all I can think is what I gave up and how I feel unhappy and trapped, but I know I'd feel like worse without them.""}, {""id"": ""E5"", ""text"": ""I loathe myself at times.""}, {""id"": ""E6"", ""text"": ""I have an amazing life, so why can't I just enjoy it?""}]"
C13,57573c4bc792dd6c7063e729,"What are the best ways to reduce anxiety?. I have anxieties about everyday stressors, i.e. finances, work, relationships, kids, and maintaining a household","[""Anxiety"", ""Stress""]","[{""id"": ""E1"", ""text"": ""What are the best ways to reduce anxiety?.""}, {""id"": ""E2"", ""text"": ""I have anxieties about everyday stressors, i.e.""}, {""id"": ""E3"", ""text"": ""finances, work, relationships, kids, and maintaining a household""}]"
C14,55d2c26319a09db163aa501f,"I weigh over 220 pounds and I am 16 years old. About 3 years ago or so I was skinny, but I was still ugly. I really do want to change that but I've tried 3 times. Now can I try but don't stop. At school I get bullied about my weight and my ugliness and I have been bullied my whole life that I believe them. How can I stop thinking about them and don't let it get in my head? My parents said I don't weight that much but, they do think I am fat but, they tell me I am not. I told my parents that I need to go to a therapist, but they think I am fine and I think they don't want to deal with it","[""Self-esteem""]","[{""id"": ""E1"", ""text"": ""I weigh over 220 pounds and I am 16 years old.""}, {""id"": ""E2"", ""text"": ""About 3 years ago or so I was skinny, but I was still ugly.""}, {""id"": ""E3"", ""text"": ""I really do want to change that but I've tried 3 times.""}, {""id"": ""E4"", ""text"": ""Now can I try but don't stop.""}, {""id"": ""E5"", ""text"": ""At school I get bullied about my weight and my ugliness and I have been bullied my whole life that I believe them.""}, {""id"": ""E6"", ""text"": ""How can I stop thinking about them and don't let it get in my head?""}, {""id"": ""E7"", ""text"": ""My parents said I don't weight that much but, they do think I am fat but, they tell me I am not.""}, {""id"": ""E8"", ""text"": ""I told my parents that I need to go to a therapist, but they think I am fine and I think they don't want to deal with it""}]"
C15,56f913b4b814e1ce46371941,"Why do I feel like I can never meet people's expectations?. I feel like every time I do something someone asks me to, I never fully meet what they want. I feel that when I finish it, they always think that they should have picked someone else to do it. I feel like they just want nothing to do with me","[""Self-esteem"", ""Social Relationships""]","[{""id"": ""E1"", ""text"": ""Why do I feel like I can never meet people's expectations?.""}, {""id"": ""E2"", ""text"": ""I feel like every time I do something someone asks me to, I never fully meet what they want.""}, {""id"": ""E3"", ""text"": ""I feel that when I finish it, they always think that they should have picked someone else to do it.""}, {""id"": ""E4"", ""text"": ""I feel like they just want nothing to do with me""}]"
C16,57688bd4008fce8e73e1ebc1,"How can I have a better sex life when I don't like sex?. My husband and I have been married for seven years, and in that time, we have only had sex four or five times. Others have told me that most men would have left me by now. Honestly, I think I have a low sex drive or neither one of us actually knows what we are doing. I want to be better connected with my husband","[""Human Sexuality"", ""Intimacy"", ""Marriage""]","[{""id"": ""E1"", ""text"": ""How can I have a better sex life when I don't like sex?.""}, {""id"": ""E2"", ""text"": ""My husband and I have been married for seven years, and in that time, we have only had sex four or five times.""}, {""id"": ""E3"", ""text"": ""Others have told me that most men would have left me by now.""}, {""id"": ""E4"", ""text"": ""Honestly, I think I have a low sex drive or neither one of us actually knows what we are doing.""}, {""id"": ""E5"", ""text"": ""I want to be better connected with my husband""}]"
C17,566853241678044a13a77708,"What can I do to keep my relationship as good as it could be?. My long-distance girlfriend is in a sorority, and it's changing her. I feel like I'm becoming less important to her and it hurts. She just wants me to support the sorority, but it's so hard. I try every day to show her she's the most important thing to me, but she can't even stay relatively sober at a fraternity party for me so that I won't worry about her doing anything regretful. We love each other, but we're in a rough patch","[""Relationships""]","[{""id"": ""E1"", ""text"": ""What can I do to keep my relationship as good as it could be?.""}, {""id"": ""E2"", ""text"": ""My long-distance girlfriend is in a sorority, and it's changing her.""}, {""id"": ""E3"", ""text"": ""I feel like I'm becoming less important to her and it hurts.""}, {""id"": ""E4"", ""text"": ""She just wants me to support the sorority, but it's so hard.""}, {""id"": ""E5"", ""text"": ""I try every day to show her she's the most important thing to me, but she can't even stay relatively sober at a fraternity party for me so that I won't worry about her doing anything regretful.""}, {""id"": ""E6"", ""text"": ""We love each other, but we're in a rough patch""}]"
C18,58432b4a950e2507cf23dc88,What makes a good marriage?. What makes a healthy marriage last?,"[""Marriage""]","[{""id"": ""E1"", ""text"": ""What makes a good marriage?.""}, {""id"": ""E2"", ""text"": ""What makes a healthy marriage last?""}]"
C19,55f9cfb41bdd1dae56cc561a,"What can I communicate with a person who is sensitive to negativity in a disagreement?. I know someone who is extremely sensitive to stress and very sensitive to a negative tone of voice. Sometimes during a disagreement he tells me that my communication is having a harmful impact on him. Once he believes I am being negative I can't seem to find a better way of communicating. In fact, it is often a self fulling prophesy because his accusatory manner becomes unbearably frustrating. What advice might you offer?","[""Relationships""]","[{""id"": ""E1"", ""text"": ""What can I communicate with a person who is sensitive to negativity in a disagreement?.""}, {""id"": ""E2"", ""text"": ""I know someone who is extremely sensitive to stress and very sensitive to a negative tone of voice.""}, {""id"": ""E3"", ""text"": ""Sometimes during a disagreement he tells me that my communication is having a harmful impact on him.""}, {""id"": ""E4"", ""text"": ""Once he believes I am being negative I can't seem to find a better way of communicating.""}, {""id"": ""E5"", ""text"": ""In fact, it is often a self fulling prophesy because his accusatory manner becomes unbearably frustrating.""}, {""id"": ""E6"", ""text"": ""What advice might you offer?""}]"
C20,575970f2c792dd6c7063e776,"My toddler wants her daddy to die when she's mad at him. I told her that if daddy dies, we will never see him again. She started crying because I wouldn't make her daddy die","[""Parenting""]","[{""id"": ""E1"", ""text"": ""My toddler wants her daddy to die when she's mad at him.""}, {""id"": ""E2"", ""text"": ""I told her that if daddy dies, we will never see him again.""}, {""id"": ""E3"", ""text"": ""She started crying because I wouldn't make her daddy die""}]"
C21,56e60f1a02b3f7e43463d3f2,"Is this depression?. I feel like I am internally screaming all the time. Externally, I am calm, but I have this intense, unidentifiable emotion constantly. I don't feel sad. I don't cry a lot. I feel rather emotionally distant other than the internal screaming. It kind of feels like I'm a caged animal","[""Depression""]","[{""id"": ""E1"", ""text"": ""Is this depression?.""}, {""id"": ""E2"", ""text"": ""I feel like I am internally screaming all the time.""}, {""id"": ""E3"", ""text"": ""Externally, I am calm, but I have this intense, unidentifiable emotion constantly.""}, {""id"": ""E4"", ""text"": ""I don't feel sad.""}, {""id"": ""E5"", ""text"": ""I don't cry a lot.""}, {""id"": ""E6"", ""text"": ""I feel rather emotionally distant other than the internal screaming.""}, {""id"": ""E7"", ""text"": ""It kind of feels like I'm a caged animal""}]"
C22,55711873a03de6c365f45bbb,"About a year ago I found out my husband had cheated on me.. Cheating is something unacceptable for me but because we have two daughters I decided not to break up the family. However, now I am struggling to forget and forgive what happened. I feel like I cannot trust him. Without trust, I cannot stay in this relationship. On the other hand, I do not want my children to get hurt. I'm not sure how to move forward?","[""Marriage"", ""Relationships""]","[{""id"": ""E1"", ""text"": ""About a year ago I found out my husband had cheated on me..""}, {""id"": ""E2"", ""text"": ""Cheating is something unacceptable for me but because we have two daughters I decided not to break up the family.""}, {""id"": ""E3"", ""text"": ""However, now I am struggling to forget and forgive what happened.""}, {""id"": ""E4"", ""text"": ""I feel like I cannot trust him.""}, {""id"": ""E5"", ""text"": ""Without trust, I cannot stay in this relationship.""}, {""id"": ""E6"", ""text"": ""On the other hand, I do not want my children to get hurt.""}, {""id"": ""E7"", ""text"": ""I'm not sure how to move forward?""}]"
C23,5765ba55ca5745ed07aa150c,How can I deal with a break up?. My fiancé and I broke up. He cheated on me numerous times. I kept forgiving but questioning his every move. He got tired and left,"[""Relationship Dissolution""]","[{""id"": ""E1"", ""text"": ""How can I deal with a break up?.""}, {""id"": ""E2"", ""text"": ""My fiancé and I broke up.""}, {""id"": ""E3"", ""text"": ""He cheated on me numerous times.""}, {""id"": ""E4"", ""text"": ""I kept forgiving but questioning his every move.""}, {""id"": ""E5"", ""text"": ""He got tired and left""}]"
C24,577f7ae87fe85f1465e20096,"Why can't I change?. I know I'm ruining my life with a lot of the decisions I make. I consistently tell myself I need to make some serious changes in my life, but I just can't seem to even though I really want to. Why can't I force myself to change?","[""Behavioral Change""]","[{""id"": ""E1"", ""text"": ""Why can't I change?.""}, {""id"": ""E2"", ""text"": ""I know I'm ruining my life with a lot of the decisions I make.""}, {""id"": ""E3"", ""text"": ""I consistently tell myself I need to make some serious changes in my life, but I just can't seem to even though I really want to.""}, {""id"": ""E4"", ""text"": ""Why can't I force myself to change?""}]"
C25,55ce8c31bdca3bcd2070e992,"I want to have sexual experiences with adults, male or female. How do I stop those thoughts?","[""Intimacy"", ""LGBTQ""]","[{""id"": ""E1"", ""text"": ""I want to have sexual experiences with adults, male or female.""}, {""id"": ""E2"", ""text"": ""How do I stop those thoughts?""}]"
C26,57393a564eb3dd523a6db444,"What should I do about my stress before track meets?. I am on the track and softball team. My school is small, so I play all four sports it offers. I feel obligated to do track because I'm not a horrible runner, and my dad wants me to. The catch is is that the days before a track meet and the morning of, I get sick and cry","[""Anxiety""]","[{""id"": ""E1"", ""text"": ""What should I do about my stress before track meets?.""}, {""id"": ""E2"", ""text"": ""I am on the track and softball team.""}, {""id"": ""E3"", ""text"": ""My school is small, so I play all four sports it offers.""}, {""id"": ""E4"", ""text"": ""I feel obligated to do track because I'm not a horrible runner, and my dad wants me to.""}, {""id"": ""E5"", ""text"": ""The catch is is that the days before a track meet and the morning of, I get sick and cry""}]"
C27,5566fab2a64752d71ec3ca69,"Escalating disagreements between mother and wife. My wife and mother are having tense disagreements. In the past, they’ve had minor differences. For example, my wife would complain to me my mother is too overbearing; my mother would complain my wife is lazy. However, it’s intensified lately. I think the cause is my wife talked back to her once. Now, any little disagreement is magnified, leading to major disagreements. What can I do?","[""Family Conflict""]","[{""id"": ""E1"", ""text"": ""Escalating disagreements between mother and wife.""}, {""id"": ""E2"", ""text"": ""My wife and mother are having tense disagreements.""}, {""id"": ""E3"", ""text"": ""In the past, they’ve had minor differences.""}, {""id"": ""E4"", ""text"": ""For example, my wife would complain to me my mother is too overbearing; my mother would complain my wife is lazy.""}, {""id"": ""E5"", ""text"": ""However, it’s intensified lately.""}, {""id"": ""E6"", ""text"": ""I think the cause is my wife talked back to her once.""}, {""id"": ""E7"", ""text"": ""Now, any little disagreement is magnified, leading to major disagreements.""}, {""id"": ""E8"", ""text"": ""What can I do?""}]"
C28,55806432a29507431fcd9ebe,"How do I stop my step child from hurting my biological child?. What makes my step child, an 8 year old boy, choke my daughter, a 6 year old girl? This has been going on for 4 years. The boy tells my daughter not to tell on him. He knows it's wrong; we have did time out, spanking, taking away toys, and sitting on the wall. I am afraid for my daughters safety!","[""Anger Management"", ""Parenting""]","[{""id"": ""E1"", ""text"": ""How do I stop my step child from hurting my biological child?.""}, {""id"": ""E2"", ""text"": ""What makes my step child, an 8 year old boy, choke my daughter, a 6 year old girl?""}, {""id"": ""E3"", ""text"": ""This has been going on for 4 years.""}, {""id"": ""E4"", ""text"": ""The boy tells my daughter not to tell on him.""}, {""id"": ""E5"", ""text"": ""He knows it's wrong; we have did time out, spanking, taking away toys, and sitting on the wall.""}, {""id"": ""E6"", ""text"": ""I am afraid for my daughters safety!""}]"
C29,5766ab8420c0173024ce0bca,"How can I get my ex-girlfriend back?. She said she needed space after three days of dating, and she got a boyfriend a week later. I still really miss her, and she told me she still likes me","[""Relationship Dissolution""]","[{""id"": ""E1"", ""text"": ""How can I get my ex-girlfriend back?.""}, {""id"": ""E2"", ""text"": ""She said she needed space after three days of dating, and she got a boyfriend a week later.""}, {""id"": ""E3"", ""text"": ""I still really miss her, and she told me she still likes me""}]"
C30,5746401fc792dd6c7063e439,"Is my relationship with my stepdad normal?. My stepdad and I always mess around. I've noticed that whenever he playfully hits me, it's always my butt that he hits. He always comments on my outfits and always scans me head to toe when I walk into a room. I'm a teenager female, and I want to know if this is normal","[""Family Conflict""]","[{""id"": ""E1"", ""text"": ""Is my relationship with my stepdad normal?.""}, {""id"": ""E2"", ""text"": ""My stepdad and I always mess around.""}, {""id"": ""E3"", ""text"": ""I've noticed that whenever he playfully hits me, it's always my butt that he hits.""}, {""id"": ""E4"", ""text"": ""He always comments on my outfits and always scans me head to toe when I walk into a room.""}, {""id"": ""E5"", ""text"": ""I'm a teenager female, and I want to know if this is normal""}]"
